,labels,label_index,time_interval,path_image
0,relax,1,4,exp_protocols/pics/relax.png
1,tiptoe,2,3,exp_protocols/pics/tiptoe.png
2,relax,1,4,exp_protocols/pics/relax.png
3,heels,3,3,exp_protocols/pics/heels.png
4,relax,1,4,exp_protocols/pics/relax.png
5,heels,3,3,exp_protocols/pics/heels.png
6,tiptoe,2,3,exp_protocols/pics/tiptoe.png
7,relax,1,4,exp_protocols/pics/relax.png
8,heels,3,3,exp_protocols/pics/heels.png
9,relax,1,4,exp_protocols/pics/relax.png
10,tiptoe,2,3,exp_protocols/pics/tiptoe.png
11,relax,1,4,exp_protocols/pics/relax.png
12,heels,3,3,exp_protocols/pics/heels.png
13,relax,1,4,exp_protocols/pics/relax.png
14,tiptoe,2,3,exp_protocols/pics/tiptoe.png
15,relax,1,4,exp_protocols/pics/relax.png
16,heels,3,3,exp_protocols/pics/heels.png
17,relax,1,4,exp_protocols/pics/relax.png
18,heels,3,3,exp_protocols/pics/heels.png
19,relax,1,4,exp_protocols/pics/relax.png
20,tiptoe,2,3,exp_protocols/pics/tiptoe.png
21,relax,1,4,exp_protocols/pics/relax.png
22,tiptoe,2,3,exp_protocols/pics/tiptoe.png
23,relax,1,4,exp_protocols/pics/relax.png
24,tiptoe,2,3,exp_protocols/pics/tiptoe.png
